#{"t_start": 1733228792.3435369, "env_id": "Acrobot-v1"}
r,l,t
-153.0,154,30.904465
-194.0,195,30.942121
-63.0,64,30.954529
-78.0,79,30.969774
-83.0,84,30.986295
-86.0,87,31.003184
-76.0,77,31.01822
-176.0,177,31.052512
-89.0,90,31.069856
-77.0,78,31.084876
-97.0,98,31.103579
-94.0,95,31.435866
-85.0,86,31.453416
-86.0,87,31.471049
-72.0,73,31.485791
-81.0,82,31.502253
-73.0,74,31.5171
-157.0,158,31.549258
-72.0,73,31.564018
-73.0,74,31.579232
-72.0,73,31.59449
-65.0,66,31.608371
-62.0,63,31.622154
-72.0,73,31.637107
-122.0,123,31.661252
-92.0,93,31.679661
-70.0,71,31.6941
-77.0,78,31.709481
-82.0,83,31.725863
-112.0,113,31.747869
-79.0,80,31.7638
-73.0,74,31.778948
-70.0,71,31.793129
-88.0,89,31.810596
-215.0,216,32.181464
-71.0,72,32.196114
-85.0,86,32.213905
-81.0,82,32.230493
-90.0,91,32.249131
-72.0,73,32.264098
-84.0,85,32.28174
-60.0,61,32.294186
-83.0,84,32.311218
-87.0,88,32.329888
-71.0,72,32.344739
-336.0,337,32.412728
-78.0,79,32.428505
-77.0,78,32.444048
-72.0,73,32.458378
-83.0,84,32.475011
-92.0,93,32.493258
-72.0,73,32.507688
-117.0,118,32.530895
-76.0,77,32.546012
-88.0,89,32.563026
-72.0,73,32.577579
-76.0,77,32.929266
-79.0,80,32.945986
-72.0,73,32.961221
-90.0,91,32.980365
-81.0,82,32.998015
-72.0,73,33.013244
-79.0,80,33.02988
-79.0,80,33.046247
-64.0,65,33.060083
-85.0,86,33.077852
-97.0,98,33.098913
-174.0,175,33.135216
-81.0,82,33.151982
-81.0,82,33.168698
-107.0,108,33.189891
-111.0,112,33.21177
-86.0,87,33.228496
-63.0,64,33.241052
-77.0,78,33.256063
-181.0,182,33.291253
-77.0,78,33.30657
-83.0,84,33.322709
-77.0,78,33.652463
-91.0,92,33.671634
-78.0,79,33.687895
-72.0,73,33.702821
-77.0,78,33.718703
-77.0,78,33.734936
-77.0,78,33.750766
-72.0,73,33.766299
-88.0,89,33.784784
-88.0,89,33.803154
-86.0,87,33.821161
-85.0,86,33.838928
-79.0,80,33.854732
-78.0,79,33.869779
-74.0,75,33.884052
-90.0,91,33.902453
-79.0,80,33.918107
-85.0,86,33.934661
-90.0,91,33.952153
-87.0,88,33.969227
-204.0,205,34.008373
-85.0,86,34.02506
-82.0,83,34.040956
-78.0,79,34.370091
-106.0,107,34.392326
-84.0,85,34.41041
-73.0,74,34.42554
-73.0,74,34.440885
-74.0,75,34.456404
-63.0,64,34.469838
-70.0,71,34.484699
-100.0,101,34.505888
-80.0,81,34.523245
-78.0,79,34.540135
-76.0,77,34.556576
-81.0,82,34.573134
-80.0,81,34.58901
-69.0,70,34.602919
-71.0,72,34.616948
-150.0,151,34.646156
-89.0,90,34.663747
-78.0,79,34.679051
-75.0,76,34.693836
-71.0,72,34.707749
-70.0,71,34.721769
-88.0,89,34.73909
-63.0,64,34.753369
-500.0,500,35.181682
-85.0,86,35.200013
-85.0,86,35.217842
-82.0,83,35.235763
-78.0,79,35.252039
-75.0,76,35.268388
-72.0,73,35.284063
-83.0,84,35.301788
-76.0,77,35.317449
-109.0,110,35.338517
-178.0,179,35.372777
-78.0,79,35.38783
-101.0,102,35.407524
-78.0,79,35.422849
-78.0,79,35.437932
-81.0,82,35.453655
-114.0,115,35.475632
-83.0,84,35.49165
-86.0,87,35.508341
-84.0,85,118.1374
-107.0,108,140.380495
